Semester,Division,Dept,Num,CourseName,CourseLevel,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
Spring, College of Fine Arts,ARC,48440,AMERICAN REGIONALISM,Undergraduate,5,4.9,4.8,4.9,4.4,4.8,4.8,4.7,4.7,4.7
Spring, College of Fine Arts,ARC,48442,HIST ASIAN ARCH,Undergraduate,8,4.75,4,4.5,4,4,4.25,5,4,4
Fall, College of Fine Arts,ARC,48455,STRUCTURES ELECTIVE,Undergraduate,4,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67
Spring, College of Fine Arts,ARC,48462,NETWK COMM PLACES,Undergraduate,6.5,3.67,3.33,3.83,3.83,3.67,3.5,3.83,3.5,3.67
Spring, College of Fine Arts,ARC,48465,FROM THE ACANTHUS TO,Undergraduate,9.2,4.8,4.2,4.8,4.2,5,5,5,4.8,4.8
Fall, College of Fine Arts,ARC,48470,EXPLRG PTRN THR LAMN,Undergraduate,8,4,3,3,4,5,5,3,5,5
Spring, College of Fine Arts,ARC,48473,HND MCHN JNRY NEW DR,Undergraduate,12,4.78,4.56,4.5,4.5,4.38,4.67,4.67,4.56,4.78
Spring, College of Fine Arts,ARC,48497,THESIS PREP,Undergraduate,6.8,4,3.4,3.22,3.44,3.22,3.2,4,3.5,2.9
Fall, College of Fine Arts,ARC,48500,ASOS III,Undergraduate,24.25,4.62,4.31,4.56,4.31,4.5,4.44,4.06,4.37,4.44
Spring, College of Fine Arts,ARC,48510,ASOS IV,Undergraduate,22.44,4.33,3.67,4.22,4,4.67,4.11,4,4.11,4.22
Spring, College of Fine Arts,ARC,48519,ARC STUDIO: TH II/IP,Undergraduate,25,4.67,4.33,4.33,4.67,5,4.67,4.67,4.33,4
Fall, College of Fine Arts,ARC,48525,THESIS SEM UG,Undergraduate,6.5,4.5,4.33,4,4,4.33,4.17,5,4.33,3.83
Spring, College of Fine Arts,ARC,48528,ID RES MOB ENV,Undergraduate,10.67,3.89,3.11,3.56,4.11,3.89,3.33,4,3.44,3.33
Spring, College of Fine Arts,ARC,48530,HUMAN-MACH VIRT,Undergraduate,11.75,4.25,3.38,3.75,3.75,4,3.88,4.63,3.75,4.13
Fall, College of Fine Arts,ARC,48531,FABRICATNG CUSTOMZTN,Undergraduate,10.25,4.25,4,3.75,4.75,4,4.5,4.5,4.5,4.25
Spring, College of Fine Arts,ARC,48538,AESTHETICS & MULTI M,Undergraduate,8,5,5,5,5,5,5,5,5,5
Fall, College of Fine Arts,ARC,48545,DES FAB,Undergraduate,11.86,4.43,4.43,4.57,4.29,4.43,4.71,3.71,4.43,4.29
Spring, College of Fine Arts,ARC,48545,DIG FAB,Undergraduate,13.6,4.2,4.4,4.4,4,4.2,4.4,4.4,4.2,4.4
Fall, College of Fine Arts,ARC,48555,INTRO ARC ROBO,Undergraduate,11,4.33,4,4.33,3.67,4.33,4,4,4,3.33
Spring, College of Fine Arts,ARC,48555,INTRO ARC ROBO,Undergraduate,9.13,3.5,3.13,3.38,3.63,3.25,2.88,3.75,3.63,3.25
Fall, College of Fine Arts,ARC,48558,RLT COMP,Undergraduate,8,5,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67
Spring, College of Fine Arts,ARC,48559,REAL CMP,Undergraduate,5,3.8,3.3,3.3,3.3,3.2,3.5,4.1,3.3,3.2
Fall, College of Fine Arts,ARC,48568,ADV CAD BIM 3D VISLZ,Undergraduate,7.14,4.79,4.86,4.86,4.36,4.57,4.64,5,4.64,4.71
Spring, College of Fine Arts,ARC,48569,GIS CAFM,Undergraduate,8.86,4.79,4.79,4.85,4.36,4.86,4.64,4.93,4.71,4.71
Spring, College of Fine Arts,ARC,48587,ARCH LIGHTING DESIGN,Undergraduate,5.75,4.5,4.38,4.5,4.38,4.5,4.25,4.88,4.5,4.63
Fall, College of Fine Arts,ARC,48630,MARCH INTEG STUDIO I,Graduate,23,5,4.5,4.5,5,5,5,5,5,5
Fall, College of Fine Arts,ARC,48634,ARC THEORY M.ARCH,Graduate,7.25,5,5,4.75,5,4.75,4.75,5,4.75,4.75
Fall, College of Fine Arts,ARC,48635,ENVIRO I M.ARCH,Graduate,9.29,4.43,5,4.71,4.71,4.71,4.57,5,4.57,4.29
Spring, College of Fine Arts,ARC,48637,STRUC/STAT GRAD,Graduate,6.71,4.86,4.86,4.86,4.71,4.86,4.86,4.86,4.86,4.86
Spring, College of Fine Arts,ARC,48640,MARCHSTUDIO INTEG II,Graduate,23.5,4.1,4,3.95,3.55,4.2,4,3.9,4.05,3.95
Spring, College of Fine Arts,ARC,48644,MARCH PRE-THESIS,Graduate,3.8,4.8,4.4,4.6,4.6,4.6,4.2,5,4.8,4.6
Fall, College of Fine Arts,ARC,48647,MAT & ASSEMBL,Graduate,9.5,4.5,4,5,4.5,4.5,4.5,5,4.5,4.5
Spring, College of Fine Arts,ARC,48649,ETHICS &PR GRAD,Graduate,12.14,4.71,3.93,4.14,4.29,4.71,4.36,4.43,4.07,4
Fall, College of Fine Arts,ARC,48650,ASO MARCH I,Graduate,27,5,5,5,5,5,5,5,5,5
Fall, College of Fine Arts,ARC,48655,ENV II GRAD,Graduate,10.25,4.75,4,4.25,4.25,4.5,4.25,4.25,4.25,4.25
Spring, College of Fine Arts,ARC,48658,REDD MARCH,Graduate,5.27,4.91,5,4.91,5,4.91,4.91,5,5,5
Spring, College of Fine Arts,ARC,48660,ASOS II MARCH,Graduate,22,5,4.4,4.6,4.4,4.8,4.6,5,4.8,4.8
Fall, College of Fine Arts,ARC,48689,DIGI SKLLS WRKSHP,Graduate,7.63,4.75,4.63,4.75,4.88,4.5,4.75,4.63,4.75,4.38
Spring, College of Fine Arts,ARC,48696,AESTH & MULTI MED GR,Graduate,5,5,5,5,5,5,5,5,5,5
Summer, College of Fine Arts,ARC,48704,MS INTERN,Graduate,11.8,5,5,5,5,5,5,5,5,5
Fall, College of Fine Arts,ARC,48705,MUD STUDIO I,Graduate,18.75,5,5,5,5,5,5,5,5,5
Spring, College of Fine Arts,ARC,48706,URBAN STUDIO II,Graduate,17.57,3.86,3,3,3.57,3.57,3.43,3.57,3.14,3.14
Fall, College of Fine Arts,ARC,48707,MUD GRADUATE SEMINAR,Graduate,2,5,4.75,4.75,4.75,4.75,4.75,5,4.75,4.75
Spring, College of Fine Arts,ARC,48708,MUD STUDIO IV,Graduate,23.33,5,4.83,4.83,4.83,5,5,5,5,5
Spring, College of Fine Arts,ARC,48711,PARADGMS RESCH ARCH,Graduate,17.25,5,5,5,4.33,4.75,5,4.75,4.5,5
Spring, College of Fine Arts,ARC,48712,MUD GRADUATE SEMINAR,Graduate,3.71,4.86,4.86,4.86,4.57,4.71,4.71,5,4.71,4.57
Spring, College of Fine Arts,ARC,48713,MUD URB EC,Graduate,11.13,4.75,4.25,4.38,4.25,4.63,4.25,4.63,4.25,4.25
Fall, College of Fine Arts,ARC,48714,DATA ANL URBN DSNG,Graduate,11,3.25,3,3.25,2.5,3.25,2.75,4,2.63,2.63
Spring, College of Fine Arts,ARC,48715,MSCD PRE-THESIS 1,Graduate,8,4,3,3,2.67,3.67,3,4.33,3.67,3.33
Fall, College of Fine Arts,ARC,48716,MSCD PRE-THESIS II,Graduate,8.75,4.25,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Fall, College of Fine Arts,ARC,48718,MUD STUDIO III,Graduate,19,4.33,4,3.67,4.17,4.17,4.5,3.5,4.33,3.83
