Semester,Division,Dept,Num,CourseName,CourseLevel,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
Fall, College of Fine Arts,DES,51231,CALLIGRAPHY I,Undergraduate,6.2,4.8,4.2,4.4,4.4,4.8,4.8,5,4.8,4.8
Spring, College of Fine Arts,DES,51231,CALLIGRAPHY I,Undergraduate,7.25,4.75,3.5,4.5,4.75,4.75,4.5,5,4.5,4.5
Spring, College of Fine Arts,DES,51232,CALLIGRAPHY II,Undergraduate,5,5,3.5,4.5,5,5,5,5,5,5
Spring, College of Fine Arts,DES,51236,INFORMATION DESIGN,Undergraduate,7.81,4.94,4.44,4.69,4.81,4.63,4.63,4.75,4.63,4.56
Spring, College of Fine Arts,DES,51239,PROTOLAB II:COMMUNIC,Undergraduate,9.63,4.88,4.75,4.63,4.5,4.75,4.38,4.88,4.63,4.5
Fall, College of Fine Arts,DES,51242,HW THNGS WK: MEC ELE,Undergraduate,8.9,4.7,4.1,4.2,3.9,4.7,4.5,4.6,4.4,4.1
Fall, College of Fine Arts,DES,51245,PRODUCTS STUDIO I,Undergraduate,23.75,4.88,4.88,4.88,5,4.88,4.88,5,4.88,4.88
Fall, College of Fine Arts,DES,51247,PROTOLAB I:PRODUCTS,Undergraduate,7.25,4.38,4.25,4.38,4.25,4,4.25,4.88,3.88,3.88
Spring, College of Fine Arts,DES,51248,PRODUCTS STUDIO II,Undergraduate,16.33,4.5,4.67,4.83,4.83,4.83,4.83,4.83,4.67,5
Spring, College of Fine Arts,DES,51249,PROTOLAB II:PRODUCTS,Undergraduate,15,4.33,4.67,4.67,4.67,5,5,5,4.67,4.67
Spring, College of Fine Arts,DES,51264,PRODUCT DSGN FNDMTLS,Undergraduate,7,3.89,3.44,3.89,3.56,4.22,4,4.11,3.44,3.56
Fall, College of Fine Arts,DES,51265,ENVIRON STUDIO I,Undergraduate,12.23,4.46,4,4,3.85,4.15,3.77,4.46,4.08,4
Fall, College of Fine Arts,DES,51267,PROTOLAB I: ENVRNMNT,Undergraduate,11,4.79,4.64,4.71,4.79,4.57,4.71,4.79,4.79,4.43
Spring, College of Fine Arts,DES,51268,ENVIRON STUDIO II,Undergraduate,15.75,4.75,4.25,4.5,4.5,4.75,4.5,4.5,4.5,4.75
Spring, College of Fine Arts,DES,51269,PROTOLAB II:ENVRNMNT,Undergraduate,15,4.75,4.25,4.25,4.75,4.75,4.75,4.5,4.75,4.75
Fall, College of Fine Arts,DES,51271,HOW PEOPLE WORK,Undergraduate,8.77,4.21,4.13,4.05,4.03,4.21,4.03,4.49,3.97,3.95
Spring, College of Fine Arts,DES,51272,CULTURES,Undergraduate,5.61,4.07,3.89,4,3.86,4.19,3.91,4.3,4.05,4.09
Spring, College of Fine Arts,DES,51278,PROD SERV ECOL AI,Undergraduate,9.5,4.5,3.5,4,4.5,4.5,4,4,4,3
Spring, College of Fine Arts,DES,51321,PHOTOGRAPHIC NARRTVE,Undergraduate,6,4.67,4,4.33,3.67,4.33,4.67,4,4,4.33
Fall, College of Fine Arts,DES,51323,COMMNCTNS STUDIO III,Undergraduate,13.71,3.43,3.86,3.71,3.43,3.86,3.14,2.71,3.14,3.14
Fall, College of Fine Arts,DES,51324,BASIC 3D PROTOTYPING,Undergraduate,5,5,5,5,4.5,4.5,5,5,5,5
Spring, College of Fine Arts,DES,51328,ADVANCED WEB DESIGN,Undergraduate,6.2,4.9,4.4,4.3,4.5,4.6,4.6,5,4.6,4.2
Spring, College of Fine Arts,DES,51330,COMMN STDIO IV,Undergraduate,12.87,4.53,3.6,3.93,4,4.4,3.87,4.6,4.2,4.4
Fall, College of Fine Arts,DES,51341,HOW THINGS ARE MADE,Undergraduate,7.4,4.4,4.4,4.6,4.4,4.6,4.6,4.6,4.2,4.4
Fall, College of Fine Arts,DES,51343,PRODUCTS STUDIO III,Undergraduate,17.33,4.67,4,4.33,4,4.67,3.67,5,4.67,4.33
Spring, College of Fine Arts,DES,51347,DRAWING FRM NATURE,Undergraduate,5.5,5,5,5,5,5,5,5,5,5
Fall, College of Fine Arts,DES,51349,VISUAL NOTN/JOURNLG,Undergraduate,11,5,4.33,4.33,5,5,5,4.67,4.67,4.33
Spring, College of Fine Arts,DES,51350,PRODUCTS STUDIO IV,Undergraduate,8,4.5,4,2.5,4,3.5,3.5,4.5,4,2
Spring, College of Fine Arts,DES,51360,ENVN STDIO IV,Undergraduate,13,5,4.67,4.67,5,5,4.67,5,5,5
Spring, College of Fine Arts,DES,51362,ENVIRONMENTAL TYPOG,Undergraduate,8.43,5,4.86,4.71,4.57,5,4.43,5,4.83,4.86
Fall, College of Fine Arts,DES,51363,ENVRNMNTS STUDIO III,Undergraduate,14.13,4.88,4.5,4.63,4.63,4.38,4.5,4.88,4.63,4.5
Spring, College of Fine Arts,DES,51364,DRAWING SPACES,Undergraduate,5.6,5,5,5,5,5,5,5,5,5
Fall, College of Fine Arts,DES,51367,COMPUTATNL DES THNK,Undergraduate,9.5,4.38,4.13,4,4.63,4.5,3.88,4.88,4.25,4.25
Spring, College of Fine Arts,DES,51368,MOVING PICTURES,Undergraduate,8.9,5,4.9,4.7,4.9,4.7,4.8,4.9,4.8,4.8
Fall, College of Fine Arts,DES,51371,FUTURES I,Undergraduate,6.74,3.84,2.58,3.32,2.53,3.63,3.05,3.89,2.84,2.32
Spring, College of Fine Arts,DES,51372,PERSUASION,Undergraduate,5.63,4.23,4.13,4.02,3.85,4.13,4.08,4.25,4.02,3.6
Fall, College of Fine Arts,DES,51373,FUTURES II,Undergraduate,8.19,4,3.13,3.19,3.5,3.69,3,3.69,3,2.75
Spring, College of Fine Arts,DES,51378,DEV FORM SKTC & MDLS,Undergraduate,7,5,5,5,5,4.67,5,5,5,4.67
Spring, College of Fine Arts,DES,51384,CO-DES SOCIAL INNOV,Undergraduate,5.75,5,4.75,4.88,5,5,5,5,5,5
Spring, College of Fine Arts,DES,51385,DESIGN FOR SERVICE,Undergraduate,8,4.67,4.17,3.67,4,4.5,4.17,5,4.67,4.67
Spring, College of Fine Arts,DES,51396,DESGN ETHOS & ACTION,Undergraduate,7,4.33,4,3.67,4,4,4,4.67,4,4.33
Spring, College of Fine Arts,DES,51399,JR INDEPENDENT STUDY,Undergraduate,5,5,5,5,5,5,5,5,5,5
Spring, College of Fine Arts,DES,51400,TRANSITION DESIGN,Undergraduate,6.5,5,5,5,5,5,5,5,5,5
Fall, College of Fine Arts,DES,51421,DATA VISUALIZATION,Undergraduate,7.25,4,3.75,4.25,4.5,4.25,3.67,4.25,4,3.75
Fall, College of Fine Arts,DES,51425,BEGINNING BK ARTS LB,Undergraduate,2,5,4.5,4.5,5,4,4.5,4,5,4.5
Spring, College of Fine Arts,DES,51426,BEGINNING BK ARTS LB,Undergraduate,3,5,4.67,4.33,4.33,4.33,4.67,4.33,4.33,4.33
Spring, College of Fine Arts,DES,51427,ADVD BOOK ARTS WKSHP,Undergraduate,8,5,3,3,3,4,3,5,5,4
Spring, College of Fine Arts,DES,51434,EXPERIMENTAL FORM,Undergraduate,12.5,4,4,4.5,4,4.5,4.5,4.5,4.5,4.5
Fall, College of Fine Arts,DES,51441,FOUNDTN BME DESIGN,Undergraduate,2,3, , , , , , , , 
Fall, College of Fine Arts,DES,51451,FUND JOIN FURN DESGN,Undergraduate,14.6,4.8,4.2,4.2,4.2,4.6,4.6,5,4.2,5
Spring, College of Fine Arts,DES,51452,FURNITURE DESIGN II,Undergraduate,14,5,5,5,5,5,5,5,5,5
Fall, College of Fine Arts,DES,51453,DEXIGN FUTURES,Undergraduate,8,4.6,4.4,4.2,3.8,4.6,4.2,5,4.2,4.2
Spring, College of Fine Arts,DES,51460,PSTL NTWRKS TO COMM,Undergraduate,8,3.33,3,3.33,2.67,4,3.33,2.67,3.33,3
Summer, College of Fine Arts,DES,51470,DESIGN PRACTICUM,Undergraduate,8,5,5,5,5,5,5,5,5,5
Fall, College of Fine Arts,DES,51471,RESEARCH THRU DESIGN,Undergraduate,8.75,4.75,3.5,3.75,4.5,4.5,4,5,4.25,3.25
Fall, College of Fine Arts,DES,51473,DES THNKNG SOC INNOV,Undergraduate,11.75,4.5,2.75,2.88,3,4.38,3.25,4.38,3.63,4
Spring, College of Fine Arts,DES,51480,DES CAPSTONE PROJ,Undergraduate,12,3.58,3.25,3.25,3.5,3.17,3.08,3.33,3.33,2.83
Fall, College of Fine Arts,DES,51481,DESGN RESCH STDO,Undergraduate,15.12,4.27,3.8,3.75,3.82,4.02,3.8,3.96,3.94,3.75
Spring, College of Fine Arts,DES,51486,LEARNER EXPERNC DES,Undergraduate,13,5,5,5,5,5,5,5,5,4.5
Fall, College of Fine Arts,DES,51601,MA SEM I: DES THNKNG,Graduate,10.58,4.62,4.15,4.46,3.69,4.69,4.62,4.69,4.77,4.38
Fall, College of Fine Arts,DES,51611,MA STUD I: VIS COMM,Graduate,17,5,4.64,4.45,4.45,4.64,4.55,5,4.82,4.64
Spring, College of Fine Arts,DES,51612,MA STUD II:INTRO IXD,Graduate,13.5,5,4.4,4.5,5,4.9,4.9,5,4.9,5
Spring, College of Fine Arts,DES,51626,PROTOTYP FOR IXD,Graduate,7.73,4.73,4.36,4.36,4.82,4.45,4.45,4.91,4.45,4.18
Fall, College of Fine Arts,DES,51631,DES THINKING:SYSTEMS,Graduate,6.33,4.89,4.89,4.89,4.44,4.89,4.89,5,5,4.89
Fall, College of Fine Arts,DES,51671,DES PRINC & PRACTICE,Graduate,5,3.7,3.4,3.5,3.6,3.2,3.6,4.5,3.6,3.2
Fall, College of Fine Arts,DES,51673,HUMAN EXP IN DES,Graduate,6,4.67,5,5,4,5,4.33,4.33,4.67,4.33
Spring, College of Fine Arts,DES,51678,PROD SERV ECOL AI,Graduate,5,5,4,5,4,5,5,5,4,5
Fall, College of Fine Arts,DES,51701,MDES/MPS SEM I,Graduate,9.71,4.29,3.79,3.79,4.07,4.57,4.14,4.64,4.14,4.29
Spring, College of Fine Arts,DES,51702,TRANSITION DESIGN,Graduate,9.7,4.57,4.17,4.35,3.91,4.61,4.26,4.65,4.3,4.22
Fall, College of Fine Arts,DES,51705,DESIGN THESIS PREP I,Graduate,2,4.36,4.14,4.14,4.07,4.21,4,4.71,4.23,3.86
Fall, College of Fine Arts,DES,51711,MDES/MPS STUDIO/LAB,Graduate,21.19,3.58,3.38,3.29,3.67,3.54,3.42,4.02,3.4,3.13
Spring, College of Fine Arts,DES,51712,GRAD DESIGN STUD II,Graduate,19.38,4.5,4,4,3.75,4,3.75,4.75,3.88,3.75
Fall, College of Fine Arts,DES,51729,CD STUDIO,Graduate,14.26,4.2,4.1,4.13,4.25,4.22,4.05,4.32,4.07,4.56
Spring, College of Fine Arts,DES,51744,RSRCH METH FOR DES,Graduate,6.5,4,3.63,3.88,2.88,3.88,3.25,4.38,3.25,3.13
Fall, College of Fine Arts,DES,51753,DEXIGN FUTURES,Graduate,6,4.33,2.67,4,3.33,4,3.67,5,3.67,4
Spring, College of Fine Arts,DES,51764,PRODUCT DESIGN FUND,Graduate,9.5,4,3.5,4,3.5,4,3.5,4,4,4
Fall, College of Fine Arts,DES,51771,RESEARCH THRU DESIGN,Graduate,11.75,5,4.5,4.75,4.75,4.75,4.75,5,4.75,4.5
Spring, College of Fine Arts,DES,51782,DES FOR SOC INNOV,Graduate,12.75,5,2.75,3.5,4,4.75,4,5,3.75,4
Spring, College of Fine Arts,DES,51785,DESIGNING FR SERVICE,Graduate,7.25,4.5,4.25,4,4,4.5,4.5,4.5,4.5,4.25
Spring, College of Fine Arts,DES,51796,DESIGN ETHOS & ACTN,Graduate,12.5,5,3.5,4,4.5,5,5,5,5,5
Spring, College of Fine Arts,DES,51799,GRADUATE INDEP STDY,Graduate,9.5,5,5,4.5,4.5,4.5,4,5,4.5,4.5
Fall, College of Fine Arts,DES,51809,DES THESIS PREP III,Graduate,16,4.33,4.33,4.33,4.17,4.33,4.17,4.33,4.17,4.33
Fall, College of Fine Arts,DES,51819,THE LONG NOW,Graduate,6.5,4.67,4.67,4.83,4.33,4.5,4.83,4.67,4.67,4.83
Fall, College of Fine Arts,DES,51821,DATA VISUALIZATION,Graduate,6.5,4.5,4,4,3.5,4,3.5,3,4,3.5
Fall, College of Fine Arts,DES,51825,MDES SEMINAR III,Graduate,7.25,4.13,3.63,4,3.63,4.5,4.25,4.5,3.88,4
Spring, College of Fine Arts,DES,51828,ADVANCED WEB DESIGN,Graduate,10,4.67,5,4.67,4.67,4.33,4.67,5,4.67,4.67
Fall, College of Fine Arts,DES,51831,METHODOLOGY VISULTN,Graduate,7.75,4.58,4.33,4.33,4.42,4.67,4.75,4.67,4.5,4.75
Spring, College of Fine Arts,DES,51831,METHODOLOGY VISULTN,Graduate,8,4.57,4.21,4.14,4.21,4.79,4.71,4.86,4.71,4.71
Spring, College of Fine Arts,DES,51834,EXPERIMENTAL FORM,Graduate,24,5,5,5,5,5,5,5,5,5
Spring, College of Fine Arts,DES,51860,PSTL NTWRKS TO COMM,Graduate,7.25,4.67,2.67,3.25,3.33,4.25,3.08,5,3,3
Spring, College of Fine Arts,DES,51874,EXPERIENTIAL FUTURES,Graduate,10.77,4.15,3.54,3.77,3.69,4.54,4.31,4.69,4.15,4.15
Spring, College of Fine Arts,DES,51884,CO-DES SOC INNOV,Graduate,3.2,4.7,3.9,3.8,3.8,4.5,3.7,4.9,4,3.8
Spring, College of Fine Arts,DES,51886,LEARNER EXPERNCE DES,Graduate,9.2,4.4,3.9,3.8,3.8,4.2,4.1,4.5,4,3.7
Fall, College of Fine Arts,DES,51903,DES THEORY & PRACT,Graduate,13.25,3.63,3.88,3.5,3.13,3.75,3.25,4.5,2.75,3.13
Spring, College of Fine Arts,DES,51904,TRANSITION DESIGN,Graduate,11.67,4.67,4.44,4.44,4,4.67,4.25,4.63,4.25,4.56
Fall, College of Fine Arts,DES,51913,DES WRITING WRKSHP,Graduate,12.75,5,4.75,5,4.25,4.75,4.75,5,5,4.5
Spring, College of Fine Arts,DES,51914,FRAMING PROPOSALS,Graduate,11,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83
Fall, College of Fine Arts,DES,51921,RESEARCH I,Graduate,14.33,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67
Fall, College of Fine Arts,DES,51950,PROGRESS REVIEWS I,Graduate,5,3.5,4,3.5,3.5,3.5,3,4.5,4,4.5
Spring, College of Fine Arts,DES,51952,PROGRESS REVIEWS II,Graduate,9,4.56,4.44,4.33,4.67,4.78,4.44,4.78,4.67,4.56
Fall, College of Fine Arts,DES,51954,PROGRESS REVIEWS III,Graduate,13.33,4.67,4.83,4.67,4.67,4.67,4.67,4.67,4.67,4.67
Spring, College of Fine Arts,DES,51974,EXPERIENTIAL FUTURES,Graduate,14,4.5,4.25,4,4.25,4.75,4.25,5,4.5,4.25
Spring, College of Fine Arts,DRA,54012,WARMUP,Undergraduate,2,3.25,3,2.5,2.5,2.5,2.75,3.75,3.67,2.5
Fall, College of Fine Arts,DRA,54101,ACTING I,Undergraduate,11,5,4.29,4.71,5,4.71,4.57,4.71,5,4.86
Spring, College of Fine Arts,DRA,54102,ACTING I,Undergraduate,13.5,4.8,4.4,4.5,4.8,4.9,4.8,4.4,4.8,4.8
Fall, College of Fine Arts,DRA,54103,SPEECH I,Undergraduate,5,5,4.25,4.25,4,4.5,4.75,4.5,4.25,4.25
Spring, College of Fine Arts,DRA,54104,SPEECH I,Undergraduate,5,4.8,4.8,5,5,4.8,4.6,4.6,4.8,4.8
Fall, College of Fine Arts,DRA,54105,VOICE FOR STAGE I,Undergraduate,5,5,5,5,5,5,5,5,5,4.75
Spring, College of Fine Arts,DRA,54106,VCE FR STGE I,Undergraduate,3.88,5,4.5,4.88,5,4.88,4.88,5,4.88,4.63
Fall, College of Fine Arts,DRA,54107,MOVEMENT I,Undergraduate,5.6,5,5,5,4.6,5,5,4.8,5,4.8
Spring, College of Fine Arts,DRA,54108,MOVEMENT I,Undergraduate,6.71,5,4.86,5,5,5,5,5,4.86,5
Fall, College of Fine Arts,DRA,54109,DRAMATURGY I:APP TXT,Undergraduate,7.45,4.91,4.82,4.91,4.91,5,5,5,5,5
Fall, College of Fine Arts,DRA,54110,TEXT FOR ACTORS,Undergraduate,7.4,4.8,3.2,4.4,4.6,5,4.8,5,4.6,4.4
Spring, College of Fine Arts,DRA,54117,DESGN COLLAB PROJECT,Undergraduate,5.57,3.76,3.62,3.76,3.55,3.64,3.41,3.85,3.47,3.48
Fall, College of Fine Arts,DRA,54121,DIRECTING I: SOURCES,Undergraduate,7.7,3,2.7,2.3,2.5,2.9,2.6,2,2.5,2.6
Spring, College of Fine Arts,DRA,54122,DIRECTING I: SOURCES,Undergraduate,6.8,5,4.6,4.6,5,4.8,4.75,5,5,5
Fall, College of Fine Arts,DRA,54123,BALLET I,Undergraduate,3.5,5,4.75,5,5,5,5,5,5,5
Spring, College of Fine Arts,DRA,54124,BALLET I,Undergraduate,5.6,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.67
Fall, College of Fine Arts,DRA,54125,MUSIC SKILLS I,Undergraduate,5,5,5,5,5,5,5,5,5,5
Spring, College of Fine Arts,DRA,54126,MUSIC SKILLS II,Undergraduate,2,4.33,5,4.67,4.33,4.33,3.67,4.67,4,3.67
Spring, College of Fine Arts,DRA,54152,STAGECRAFT,Undergraduate,14.4,4,4.2,4.3,3.1,4.4,4.2,4.1,4.1,3.9
Fall, College of Fine Arts,DRA,54153,EMBODYING THE ARCHIV,Undergraduate,6.5,5,4.5,4.5,5,5,4.75,5,4.5,4.5
Fall, College of Fine Arts,DRA,54157,PRODUCTION SCIENCE,Undergraduate,3.76,4.76,4.12,4.12,3.65,4.41,4.29,4.88,4.41,4.41
Spring, College of Fine Arts,DRA,54158,PRODUCTION PLANNING,Undergraduate,8.27,2.82,3.64,4,2.91,4,3.73,2.73,2.91,3.27
Spring, College of Fine Arts,DRA,54162,INTRO COSTUME DESIGN,Undergraduate,9,2.33,2.67,2.67,3,3,1.67,4,2,2.67
Spring, College of Fine Arts,DRA,54166,INTRO SND DSGN THTRE,Undergraduate,9.5,4.5,4.5,4.5,4.5,4,4.5,4.5,4.5,4
Fall, College of Fine Arts,DRA,54167,ACTING FOR DIRECTORS,Undergraduate,11,5,5,5,5,5,5,4,5,5
Spring, College of Fine Arts,DRA,54168,ACTING DIRECTORS I,Undergraduate,5,5,5,4.67,5,5,5,4.67,4.67,5
Fall, College of Fine Arts,DRA,54169,STUDIOCRAFT 1,Undergraduate,9.69,3.69,3.51,3.57,3.34,3.63,3.2,3.31,3.43,3.49
Spring, College of Fine Arts,DRA,54170,STUDIOCRAFT 2,Undergraduate,8.88,3.26,3.91,3.96,3.18,3.77,3.78,3,3.65,3.74
Fall, College of Fine Arts,DRA,54171,BASIC DESIGN 1,Undergraduate,15.83,4.67,3.56,3.89,4.39,4.28,3.83,4.72,4.17,4.22
Spring, College of Fine Arts,DRA,54172,BASIC DESIGN 2,Undergraduate,17.45,4.73,3.55,3.82,4.55,4.64,3.82,4.91,4.55,4.45
Fall, College of Fine Arts,DRA,54175,CONSERVATORY HOUR,Undergraduate,2.17,4.2,4.15,4.1,3.63,3.91,3.85,4.47,4.23,3.58
Spring, College of Fine Arts,DRA,54176,CONSERVATORY HOUR,Undergraduate,2.12,4.72,4.74,4.64,4.6,4.5,4.68,4.84,4.64,4.46
Fall, College of Fine Arts,DRA,54177,FOUNDATIONS DRAMA I,Undergraduate,4.61,5,4.81,4.84,4.61,4.81,4.87,4.97,4.94,4.74
Spring, College of Fine Arts,DRA,54177,FOUNDATIONS DRAMA I,Undergraduate,5.35,5,4.79,4.88,4.85,4.85,4.79,4.97,4.91,4.79
Spring, College of Fine Arts,DRA,54184,DTURG 2:INT PROD DTG,Undergraduate,9.8,5,5,5,5,5,5,5,5,5
Fall, College of Fine Arts,DRA,54187,INTRO TO PLAYWRITING,Undergraduate,6.5,4.5,4.75,4.75,4.25,4,4.5,4.75,4.25,4.5
Spring, College of Fine Arts,DRA,54190,ADVANCED PLAYWRITING,Undergraduate,5,5,4,4,5,5,3,5,4,5
Fall, College of Fine Arts,DRA,54190,PLAYWRITING,Undergraduate,6,4.33,4,4.67,4.67,4.67,4.67,4.67,4.33,4.67
Fall, College of Fine Arts,DRA,54191,ACTING FOR NON MAJOR,Undergraduate,5.64,4.86,4.29,4.43,4.5,4.71,4.5,5,4.86,4.64
Spring, College of Fine Arts,DRA,54191,ACTING FOR NON MAJOR,Undergraduate,4.17,4.53,4.35,4.31,4.24,4.47,4.29,4.88,4.29,4.35
Fall, College of Fine Arts,DRA,54192,ACTING ENS NON MAJOR,Undergraduate,8.6,4.8,4.4,4.6,3.8,4.4,4.6,5,4.6,4.6
Spring, College of Fine Arts,DRA,54192,ACTING FOR NON MAJOR,Undergraduate,8.75,5,4.5,5,5,5,5,5,5,5
Spring, College of Fine Arts,DRA,54196,SCREENWRITING,Undergraduate,9.5,5,4.75,5,5,5,5,5,4.75,5
Fall, College of Fine Arts,DRA,54200,DRAMATURGY FORUM,Undergraduate,2,4.88,4.88,4.79,4.74,4.83,4.79,4.88,4.88,4.88
Spring, College of Fine Arts,DRA,54200,DRAMATURGY FORUM,Undergraduate,2,4.69,4.69,4.69,4.69,4.54,4.64,4.64,4.64,4.08
Fall, College of Fine Arts,DRA,54201,ACTING II,Undergraduate,11.5,4.83,4.75,4.75,4.58,4.83,4.67,4.83,4.75,4.67
Spring, College of Fine Arts,DRA,54202,ACTING II,Undergraduate,12.71,4.86,4.43,4.57,4.57,4.71,4.29,4.71,4.71,4.86
Fall, College of Fine Arts,DRA,54203,VOICE & SPEECH II,Undergraduate,4,4.83,4.69,4.6,4.74,4.93,4.86,4.86,4.74,4.69
Spring, College of Fine Arts,DRA,54204,VOICE & SPEECH II,Undergraduate,6.5,4.88,4,4.38,4.88,5,4.88,4.63,4.75,4.5
Fall, College of Fine Arts,DRA,54205,BALLET II,Undergraduate,6.5,5,5,5,5,5,5,5,5,5
Spring, College of Fine Arts,DRA,54206,BALLET II,Undergraduate,5,5,5,5,5,5,5,5,5,5
Fall, College of Fine Arts,DRA,54207,MOVEMENT II,Undergraduate,6.46,4.92,4.69,4.75,4.62,4.92,4.77,4.69,4.77,4.85
Spring, College of Fine Arts,DRA,54208,MOVEMENT II,Undergraduate,5,4.91,4.91,4.92,4.75,4.92,4.92,4.58,4.75,4.83
Fall, College of Fine Arts,DRA,54211,ACTOR DANCE II,Undergraduate,2.67,5,5,4.89,5,4.56,5,5,5,4.89
Spring, College of Fine Arts,DRA,54212,ACTOR DANCE II,Undergraduate,3.5,4.75,4.75,4.75,4.75,4.5,4.75,4.75,4.75,4.5
Fall, College of Fine Arts,DRA,54213,SINGING FOR ACTORS 2,Undergraduate,5,4.67,5,4.78,4.89,4.56,4.78,5,4.78,4.56
Spring, College of Fine Arts,DRA,54214,SINGING FOR ACTORSII,Undergraduate,3.5,5,5,5,5,4.83,5,5,5,4.67
Fall, College of Fine Arts,DRA,54217,JAZZ II,Undergraduate,8,5,5,5,5,5,5,5,5,5
Spring, College of Fine Arts,DRA,54218,JAZZ II,Undergraduate,4,5,4.67,4.67,4.33,4.33,4.33,3.33,4.33,4
Fall, College of Fine Arts,DRA,54219,MT THEATRE LIT & REP,Undergraduate,5,4.33,4.67,4.67,4.33,4.33,4.33,4.33,4.67,4.33
Spring, College of Fine Arts,DRA,54220,ACTING A SONG,Undergraduate,5,5,4.5,4,4.5,4,4,3.5,4.5,4
Fall, College of Fine Arts,DRA,54221,DIRECTING II: FNDMTL,Undergraduate,9.8,4,3.6,4,3.6,3.8,3.6,4,3,2.8
Spring, College of Fine Arts,DRA,54222,DIRECTING II:FNDMNTL,Undergraduate,9.8,4.6,3.6,3.8,4.2,4.6,4,4.6,4.4,3.8
Fall, College of Fine Arts,DRA,54223,TAP II,Undergraduate,5,5,5,5,4.8,5,5,4.8,5,5
Spring, College of Fine Arts,DRA,54224,TAP II,Undergraduate,2,5,5,5,5,5,5,5,5,5
Spring, College of Fine Arts,DRA,54230,MAKE-UP FOR DESIGNRS,Undergraduate,5,3.5,4,3.5,4,3.5,3.5,3.5,3.5,3.5
Fall, College of Fine Arts,DRA,54231,DESIGN FOR THE STAGE,Undergraduate,11.05,3.61,3.27,3.27,3.47,3.48,3.38,3.84,3.48,3.5
Fall, College of Fine Arts,DRA,54237,SCENIC PAINTING I,Undergraduate,3.5,4,4.5,4.5,4,4,4.5,4,4,4.5
Spring, College of Fine Arts,DRA,54238,SCENIC PAINTING II,Undergraduate,8,5,5,4.5,5,4.5,5,5,5,5
Fall, College of Fine Arts,DRA,54239,HIST OF ARC&DECOR 1,Undergraduate,4,4.67,3.33,3.67,3.33,4,4.33,4.67,4.67,3.67
Spring, College of Fine Arts,DRA,54240,HIST OF ARC & DECOR,Undergraduate,3.5,4,3,3,3.5,4,3,3,3.5,2.5
Spring, College of Fine Arts,DRA,54242,IMPROVISATION,Undergraduate,2.6,4.8,4.7,4.78,4.78,4.78,4.5,4.4,4.6,4.6
Fall, College of Fine Arts,DRA,54245,HISTORY OF CLOTHG 1,Undergraduate,6.8,2.6,2.4,2.4,1.8,2.4,2.4,3.6,2.4,2
Spring, College of Fine Arts,DRA,54246,HIST OF CLOTHING 2,Undergraduate,8,5,3.5,4,3.5,4,3,4.5,3,3.5
Spring, College of Fine Arts,DRA,54250,INTRO SCENIC DESIGN,Undergraduate,8,4,3.67,3.33,4,4,3.67,3.67,4,4
Spring, College of Fine Arts,DRA,54252,INTRO LIGHTING DESGN,Undergraduate,5.75,3.75,2.75,2.75,2.5,3.75,2.5,3.75,3,2.75
Fall, College of Fine Arts,DRA,54256,DRAMTRGY 3: NEW PLAY,Undergraduate,6.8,5,5,5,5,5,5,5,5,5
Fall, College of Fine Arts,DRA,54264,WELDING,Undergraduate,3.5,5,4.5,4.5,5,5,5,5,5,5
Spring, College of Fine Arts,DRA,54264,WELDING,Undergraduate,2.75,4.25,2,2.75,3.75,4,3.25,4,3,3.5
Spring, College of Fine Arts,DRA,54265,ADV FABRICATION 1,Undergraduate,4,3.83,1.83,2,2.67,3.83,2.5,3.83,2.67,3
Fall, College of Fine Arts,DRA,54266,STAGE MANGMNT:CUE LB,Undergraduate,4,3,3.33,2.67,3.67,3.33,2.67,3.33,3.33,3
Fall, College of Fine Arts,DRA,54267,CONCEPTL SND DESGN,Undergraduate,5,4,4,3,3,4,4,4,5,5
Fall, College of Fine Arts,DRA,54271,TECHNICAL MANAGEMENT,Undergraduate,7.37,3.05,2.89,3.26,3.32,3.58,2.84,3.11,2.84,2.79
Spring, College of Fine Arts,DRA,54272,SCENIC FABRCT INSTAL,Undergraduate,6.2,3.5,4.1,4.1,3.5,4,3.5,3.3,3.7,3.6
Fall, College of Fine Arts,DRA,54273,TCHNL DIRECTION I,Undergraduate,6.29,3.43,3.71,4.14,2.71,3.71,3.57,3.14,3.43,3
Fall, College of Fine Arts,DRA,54281,FOUNDATNS DRAMA II,Undergraduate,5.5,4.9,4.8,4.87,4.73,4.93,4.9,4.93,4.93,4.79
Spring, College of Fine Arts,DRA,54281,FOUNDATNS DRAMA II,Undergraduate,7.31,3.46,4.15,3.77,3.54,3.08,3.15,4.38,3.31,2.92
Fall, College of Fine Arts,DRA,54284,FUNDMNTLS DIRECTING,Undergraduate,6.24,4.35,4,3.88,3.65,3.94,3.82,3.12,3.76,3.59
Fall, College of Fine Arts,DRA,54285,ALEXANDER TECHNIQUE,Undergraduate,2,4.6,4.6,4.4,4.6,4.8,4.7,4.7,4.6,4.6
